,18,아기상어뮤지컬,뮤지컬,"6,100",87,"아주좋음
0.01",152.7,"아주좋음
0.57","아주좋음
0.46","쇼핑성
95%",https://itemscout.io/keyword?id=75437244
,19,한뼘사이,연극,"21,590",45,"아주좋음
0.00",252.4,"아주좋음
0.18","아주좋음
0.36","쇼핑성
88%",https://itemscout.io/keyword?id=3451879
,22,에바알머슨대전,전시/행사,"7,300",2,"아주좋음
0.00",91.5,"아주좋음
0.02","좋음
0.77","쇼핑성
95%",https://itemscout.io/keyword?id=350065647
,23,혜화역연극,연극,"12,230",85,"아주좋음
0.01",115.4,"아주좋음
0.74","보통
1.07","쇼핑성
95%",https://itemscout.io/keyword?id=32100
,24,알사탕뮤지컬,국내패키지/기타,"23,940",21,"아주좋음
0.00",733.6,"아주좋음
0.03","아주좋음
0.10","쇼핑성
79%",https://itemscout.io/keyword?id=71383077
,26,캐치티니핑뮤지컬,뮤지컬,"16,430",11,"아주좋음
0.00",358.7,"아주좋음
0.03","아주좋음
0.20","쇼핑성
92%",https://itemscout.io/keyword?id=299857162
,27,피카소와20세기거장들,전시/행사,"33,210",55,"아주좋음
0.00",780.9,"아주좋음
0.07","아주좋음
0.10","쇼핑성&정보성
42% / 58%",https://itemscout.io/keyword?id=351616202
,29,졸탄쇼,연극,"6,980",57,"아주좋음
0.01",165.8,"아주좋음
0.34","좋음
0.55","쇼핑성
96%",https://itemscout.io/keyword?id=67559347
,31,알폰스무하이모션,전시/행사,"11,650",6,"아주좋음
0.00",459.1,"아주좋음
0.01","아주좋음
0.15","쇼핑성
95%",https://itemscout.io/keyword?id=374873975
,32,엉덩이탐정플레이파크,전시/행사,"32,230",7,"아주좋음
0.00",717.0,"아주좋음
0.01","아주좋음
0.10","쇼핑성
76%",https://itemscout.io/keyword?id=292160795
,34,전천당뮤지컬,뮤지컬,"29,190",18,"아주좋음
0.00",489.7,"아주좋음
0.04","아주좋음
0.14","쇼핑성
92%",https://itemscout.io/keyword?id=341127812
,35,다이노베이,전시/행사,"17,320",59,"아주좋음
0.00",374.4,"아주좋음
0.16","아주좋음
0.19","쇼핑성
96%",https://itemscout.io/keyword?id=330917710
,36,과학마술콘서트,콘서트,"5,120",55,"아주좋음
0.01",45.2,"아주좋음
1.22","보통
1.55","쇼핑성
98%",https://itemscout.io/keyword?id=53896922
,38,에드워드호퍼길위에서,전시/행사,"65,060",4,"아주좋음
0.00","4,560.2","아주좋음
0.00","아주좋음
0.02","쇼핑성&정보성
47% / 53%",https://itemscout.io/keyword?id=358813279
,40,고양이미술사,전시/행사,"16,730",23,"아주좋음
0.00",10.0,"아주좋음
2.30","아주나쁨
7.00","쇼핑성
76%",https://itemscout.io/keyword?id=328605507
,41,도로시리턴즈,뮤지컬,"4,140",47,"아주좋음
0.01",30.5,"아주좋음
1.54","나쁨
2.30","쇼핑성
95%",https://itemscout.io/keyword?id=371814198
,42,헤더윅스튜디오,전시/행사,"32,120",40,"아주좋음
0.00","2,511.5","아주좋음
0.02","아주좋음
0.03","쇼핑성&정보성
47% / 53%",https://itemscout.io/keyword?id=374587308
,43,어린이뮤지컬서울,뮤지컬,"6,380",44,"아주좋음
0.01",78.7,"아주좋음
0.56","좋음
0.89","쇼핑성
95%",https://itemscout.io/keyword?id=61404140
,46,정동하소향콘서트,콘서트,"3,260",69,"아주좋음
0.02",15.1,"아주좋음
4.57","아주나쁨
4.64","쇼핑성
95%",https://itemscout.io/keyword?id=257790336
,48,강릉아르떼뮤지엄할인,전시/행사,"5,530",1,"아주좋음
0.00",365.9,"아주좋음
0.00","아주좋음
0.20","쇼핑성
98%",https://itemscout.io/keyword?id=296700585
,53,캣아트고양이미술사,국내패키지/기타,"17,730",5,"아주좋음
0.00",20.5,"아주좋음
0.24","나쁨
3.41","쇼핑성
88%",https://itemscout.io/keyword?id=370058311
,56,수박수영장뮤지컬예매,뮤지컬,"1,700",29,"아주좋음
0.02",14.6,"아주좋음
1.99","아주나쁨
4.79","쇼핑성
98%",https://itemscout.io/keyword?id=314328635
,59,번개맨뮤지컬,뮤지컬,"33,400",24,"아주좋음
0.00",645.2,"아주좋음
0.04","아주좋음
0.11","쇼핑성
92%",https://itemscout.io/keyword?id=318403
,60,누가내머리에똥쌌어?뮤지컬,뮤지컬,"3,660",37,"아주좋음
0.01",5.0,"아주좋음
7.40","아주나쁨
14.00","쇼핑성
95%",https://itemscout.io/keyword?id=54698366
,63,대학로연극예매,연극,"5,570",99,"아주좋음
0.02",188.1,"아주좋음
0.53","좋음
0.68","쇼핑성
96%",https://itemscout.io/keyword?id=57713
,65,깜냥뮤지컬,뮤지컬,"12,200",65,"아주좋음
0.01",1.0,"나쁨
65.00","아주나쁨
70.00","쇼핑성&정보성
42% / 58%",https://itemscout.io/keyword?id=371813377
,71,스탠드업코미디예매,연극,"5,230",1,"아주좋음
0.00",0.0,-,-,"쇼핑성
95%",https://itemscout.io/keyword?id=341255566
,74,수박수영장서울,뮤지컬,"28,300",23,"아주좋음
0.00",3.0,"아주좋음
7.67","아주나쁨
23.33","쇼핑성
76%",https://itemscout.io/keyword?id=320450784
,75,엄마까투리뮤지컬,뮤지컬,"3,420",11,"아주좋음
0.00",4.0,"아주좋음
2.75","아주나쁨
17.50","쇼핑성
96%",https://itemscout.io/keyword?id=58649
